ts,value
2020-11-23 09:15:00+00:00,0.180877
2020-11-23 09:30:00+00:00,0.180877
2020-11-23 09:45:00+00:00,0.180877
2020-11-23 10:00:00+00:00,0.180877
2020-11-23 10:15:00+00:00,0.180877
2020-11-23 10:30:00+00:00,0.180877
2020-11-23 10:45:00+00:00,0.180877
2020-11-23 11:00:00+00:00,0.180877
2020-11-23 11:15:00+00:00,0.180877
2020-11-23 11:30:00+00:00,0.180877
2020-11-23 11:45:00+00:00,0.180877
2020-11-23 12:00:00+00:00,0.180877
2020-11-23 12:15:00+00:00,0.180877
2020-11-23 12:30:00+00:00,0.180877
2020-11-23 12:45:00+00:00,0.180877
2020-11-23 13:00:00+00:00,0.180877
2020-11-23 13:15:00+00:00,0.180877
2020-11-23 13:30:00+00:00,0.180877
2020-11-23 13:45:00+00:00,0.180877
2020-11-23 14:00:00+00:00,0.180877
2020-11-23 14:15:00+00:00,0.180877
2020-11-23 14:30:00+00:00,0.180877
2020-11-23 14:45:00+00:00,0.180877
2020-11-23 15:00:00+00:00,0.180877
2020-11-23 15:15:00+00:00,0.180877
2020-11-23 15:30:00+00:00,0.180877
2020-11-23 15:45:00+00:00,0.180877
2020-11-23 16:00:00+00:00,0.180877
2020-11-23 16:15:00+00:00,0.180877
2020-11-23 16:30:00+00:00,0.180877
2020-11-23 16:45:00+00:00,0.180877
2020-11-23 17:00:00+00:00,0.180877
2020-11-23 17:15:00+00:00,0.180877
2020-11-23 17:30:00+00:00,0.180877
2020-11-23 17:45:00+00:00,0.180877
2020-11-23 18:00:00+00:00,0.180877
2020-11-23 18:15:00+00:00,0.180877
2020-11-23 18:30:00+00:00,0.180877
2020-11-23 18:45:00+00:00,0.180877
2020-11-23 19:00:00+00:00,0.180877
2020-11-23 19:15:00+00:00,0.180877
2020-11-23 19:30:00+00:00,0.180877
2020-11-23 19:45:00+00:00,0.180877
2020-11-23 20:00:00+00:00,0.180877
2020-11-23 20:15:00+00:00,0.180877
2020-11-23 20:30:00+00:00,0.180877
2020-11-23 20:45:00+00:00,0.180877
2020-11-23 21:00:00+00:00,0.180877
2020-11-23 21:15:00+00:00,0.180877
2020-11-23 21:30:00+00:00,0.180877
2020-11-23 21:45:00+00:00,0.180877
2020-11-23 22:00:00+00:00,0.180877
2020-11-23 22:15:00+00:00,0.180877
2020-11-23 22:30:00+00:00,0.180877
2020-11-23 22:45:00+00:00,0.180877
2020-11-23 23:00:00+00:00,0.180877
2020-11-23 23:15:00+00:00,0.180877
2020-11-23 23:30:00+00:00,0.180877
2020-11-23 23:45:00+00:00,0.180877
2020-11-24 00:00:00+00:00,0.180877
2020-11-24 00:15:00+00:00,0.180877
2020-11-24 00:30:00+00:00,0.180877
2020-11-24 00:45:00+00:00,0.180877
2020-11-24 01:00:00+00:00,0.180877
